Country,Label,Population,IncomeGroup,Biophysical ceiling overshoot (number of indicators),Healthcare foundations acheived,Average ecological multiplier without transformation,Extent of shortfall as a percent,Labels
Afghanistan,AFG,"42,239,854",Low income,0,0,0.245,68.2%,AFG
Albania,ALB,"2,745,972",Upper middle income,3,6,1.020,22.0%,
Algeria,DZA,"45,606,480",Lower middle income,2,1,1.519,30.4%,DZA
American Samoa,ASM,"43,914",High income,#N/A,#N/A,#N/A,#N/A,
Andorra,AND,"80,088",High income,#N/A,#N/A,#N/A,#N/A,
Angola,AGO,"36,684,202",Lower middle income,1,0,0.297,58.9%,AGO
Antigua and Barbuda,ATG,"94,298",High income,3,7,8.384,18.8%,
Argentina,ARG,"46,654,581",Upper middle income,3,8,6.716,20.9%,ARG
Armenia,ARM,"2,777,970",Upper middle income,3,6,1.460,22.8%,
Aruba,ABW,"106,277",High income,#N/A,#N/A,#N/A,#N/A,
Australia,AUS,"26,638,544",High income,6,10,129.849,11.3%,
Austria,AUT,"9,132,383",High income,5,9,27.780,9.2%,
Azerbaijan,AZE,"10,112,555",Upper middle income,1,6,1.779,21.5%,
"Bahamas, The",BHS,"412,623",High income,5,6,16.079,20.5%,
Bahrain,BHR,"1,485,509",High income,4,4,316.057,26.0%,
Bangladesh,BGD,"172,954,319",Lower middle income,1,1,0.348,46.3%,BGD
Barbados,BRB,"281,995",High income,3,4,6.342,20.8%,
Belarus,BLR,"9,178,298",Upper middle income,4,7,13.585,19.1%,
Belgium,BEL,"11,822,592",High income,6,11,40.777,7.1%,
Belize,BLZ,"410,825",Upper middle income,4,1,2.199,35.2%,
Benin,BEN,"13,712,828",Lower middle income,0,0,0.276,61.3%,
Bermuda,BMU,"63,489",High income,4,#N/A,17.235,#N/A,
Bhutan,BTN,"787,424",Lower middle income,3,2,1.153,37.2%,
Bolivia,BOL,"12,388,571",Lower middle income,2,1,0.617,36.0%,BOL
Bosnia and Herzegovina,BIH,"3,210,847",Upper middle income,5,4,4.846,17.6%,
Botswana,BWA,"2,675,352",Upper middle income,2,1,3.152,34.9%,
