Country,Label,Population,IncomeGroup,Biophysical ceiling overshoot (number of indicators),Healthcare foundations acheived,Average ecological multiplier without transformation,Extent of shortfall as a percent,Labels
Afghanistan,AFG,"42,239,854",Low income,0,0,0.315,68.2%,AFG
Albania,ALB,"2,745,972",Upper middle income,2,6,0.822,22.0%,
Algeria,DZA,"45,606,480",Lower middle income,2,1,0.674,30.4%,DZA
American Samoa,ASM,"43,914",High income,#N/A,#N/A,#N/A,#N/A,
Andorra,AND,"80,088",High income,#N/A,#N/A,#N/A,#N/A,
Angola,AGO,"36,684,202",Lower middle income,0,0,0.245,58.9%,AGO
Antigua and Barbuda,ATG,"94,298",High income,2,7,1.677,18.8%,
Argentina,ARG,"46,654,581",Upper middle income,3,8,1.786,20.9%,ARG
Armenia,ARM,"2,777,970",Upper middle income,2,6,1.102,22.8%,
Aruba,ABW,"106,277",High income,#N/A,#N/A,#N/A,#N/A,
Australia,AUS,"26,638,544",High income,6,10,9.757,11.3%,
Austria,AUT,"9,132,383",High income,5,9,4.794,9.2%,
Azerbaijan,AZE,"10,112,555",Upper middle income,1,6,0.550,21.5%,
"Bahamas, The",BHS,"412,623",High income,5,6,3.153,20.5%,
Bahrain,BHR,"1,485,509",High income,3,4,8.863,26.0%,
Bangladesh,BGD,"172,954,319",Lower middle income,1,1,0.436,46.3%,BGD
Barbados,BRB,"281,995",High income,2,4,1.663,20.8%,
Belarus,BLR,"9,178,298",Upper middle income,4,7,2.612,19.1%,
Belgium,BEL,"11,822,592",High income,6,11,5.443,7.1%,
Belize,BLZ,"410,825",Upper middle income,4,1,1.248,35.2%,
Benin,BEN,"13,712,828",Lower middle income,1,0,0.369,61.3%,
Bermuda,BMU,"63,489",High income,4,#N/A,2.280,#N/A,
Bhutan,BTN,"787,424",Lower middle income,2,2,0.853,37.2%,
Bolivia,BOL,"12,388,571",Lower middle income,1,1,0.475,36.0%,BOL
Bosnia and Herzegovina,BIH,"3,210,847",Upper middle income,5,4,1.783,17.6%,
Botswana,BWA,"2,675,352",Upper middle income,1,1,1.082,34.9%,
Brazil,BRA,"216,422,446",Upper middle income,2,5,1.164,19.3%,BRA
British Virgin Islands,VGB,"31,538",High income,#N/A,#N/A,#N/A,#N/A,
Brunei Darussalam,BRN,"452,524",High income,5,7,2.577,17.4%,
Bulgaria,BGR,"6,430,370",High income,4,8,1.848,19.1%,
Burkina Faso,BFA,"23,251,485",Low income,0,1,0.268,56.3%,
Burundi,BDI,"13,238,559",Low income,0,0,0.217,54.1%,
Cabo Verde,CPV,"598,682",Lower middle income,1,5,0.751,33.4%,
Cambodia,KHM,"16,944,826",Lower middle income,0,0,0.254,45.2%,
Cameroon,CMR,"28,647,293",Lower middle income,0,1,0.274,52.5%,
Canada,CAN,"40,097,761",High income,5,12,6.842,5.8%,CAN
Cayman Islands,CYM,"69,310",High income,#N/A,#N/A,#N/A,#N/A,
Central African Republic,CAF,"5,742,315",Low income,0,0,0.298,73.6%,CAF
Chad,TCD,"18,278,568",Low income,0,0,0.240,73.1%,
Channel Islands,,"175,346",High income,#N/A,#N/A,#N/A,#N/A,
Chile,CHL,"19,629,590",High income,4,6,2.379,13.2%,
China,CHN,"1,410,710,000",Upper middle income,2,6,2.281,25.9%,CHN
Colombia,COL,"52,085,168",Upper middle income,1,4,0.876,26.6%,COL
Comoros,COM,"852,075",Lower middle income,1,#N/A,0.878,#N/A,
"Congo, Dem. Rep.",COD,"102,262,808",Low income,0,0,0.316,59.3%,COD
"Congo, Rep.",COG,"6,106,869",Lower middle income,1,0,0.825,52.0%,
Costa Rica,CRI,"5,212,173",Upper middle income,4,6,1.401,18.9%,
Cote d'Ivoire,CIV,"28,873,034",Lower middle income,1,1,0.358,53.6%,
Croatia,HRV,"3,853,200",High income,5,9,2.422,15.1%,
Cuba,CUB,"11,194,449",Upper middle income,3,9,2.084,16.5%,
Curacao,,"147,862",High income,#N/A,#N/A,#N/A,#N/A,
Cyprus,CYP,"1,260,138",High income,4,8,2.173,11.4%,
Czechia,CZE,"10,873,689",High income,5,9,2.994,11.2%,
Denmark,DNK,"5,946,952",High income,6,10,5.092,13.4%,
Djibouti,DJI,"1,136,455",Lower middle income,4,0,1.724,53.4%,DJI
Dominica,DMA,"73,040",Upper middle income,1,3,1.528,35.9%,
Dominican Republic,DOM,"11,332,972",Upper middle income,1,4,0.753,32.8%,
Ecuador,ECU,"18,190,484",Upper middle income,2,5,1.122,27.2%,
"Egypt, Arab Rep.",EGY,"112,716,598",Lower middle income,2,4,0.992,40.3%,EGY
El Salvador,SLV,"6,364,943",Upper middle income,1,3,0.463,24.2%,
Equatorial Guinea,GNQ,"1,714,671",Upper middle income,3,#N/A,2.868,#N/A,
Eritrea,ERI,"3,748,901",Low income,#N/A,1,#N/A,52.8%,
Estonia,EST,"1,366,188",High income,5,9,2.074,16.3%,
Eswatini,SWZ,"1,210,822",Lower middle income,1,2,0.908,38.3%,
Ethiopia,ETH,"126,527,060",Low income,0,0,0.176,53.2%,ETH
Faroe Islands,FRO,"53,270",High income,#N/A,#N/A,#N/A,#N/A,
Fiji,FJI,"936,375",Upper middle income,4,3,6.435,33.3%,
Finland,FIN,"5,584,264",High income,6,11,5.922,10.7%,
France,FRA,"68,170,228",High income,5,9,3.092,8.4%,FRA
French Polynesia,PYF,"308,872",High income,#N/A,#N/A,#N/A,#N/A,
Gabon,GAB,"2,436,566",Upper middle income,4,0,3.753,41.9%,GAB
"Gambia, The",GMB,"2,773,168",Low income,0,1,0.275,52.7%,
Georgia,GEO,"3,760,365",Upper middle income,2,5,1.367,22.1%,
Germany,DEU,"84,482,267",High income,6,8,4.496,7.1%,DEU
Ghana,GHA,"34,121,985",Lower middle income,1,1,0.436,41.7%,
Gibraltar,GIB,"32,688",High income,#N/A,#N/A,#N/A,#N/A,
Greece,GRC,"10,361,295",High income,4,9,2.627,17.2%,
Greenland,GRL,"56,865",High income,#N/A,#N/A,#N/A,#N/A,
Grenada,GRD,"126,183",Upper middle income,1,5,1.521,29.2%,
Guam,GUM,"172,952",High income,#N/A,#N/A,#N/A,#N/A,
Guatemala,GTM,"17,602,431",Upper middle income,1,2,0.669,37.2%,
Guinea,GIN,"14,190,612",Lower middle income,1,1,0.469,61.9%,
Guinea-Bissau,GNB,"2,150,842",Low income,1,0,0.659,58.0%,
Guyana,GUY,"813,834",High income,1,3,1.733,29.8%,
Haiti,HTI,"11,724,763",Lower middle income,1,1,0.364,59.8%,
Honduras,HND,"10,593,798",Lower middle income,0,2,0.287,44.3%,
"Hong Kong SAR, China",HKG,"7,536,100",High income,#N/A,#N/A,#N/A,#N/A,
Hungary,HUN,"9,589,872",High income,5,9,2.455,13.8%,
Iceland,ISL,"393,600",High income,5,11,4.777,7.5%,
India,IND,"1,428,627,663",Lower middle income,2,2,0.609,38.6%,IND
Indonesia,IDN,"277,534,122",Upper middle income,1,2,0.618,38.8%,IDN
"Iran, Islamic Rep.",IRN,"89,172,767",Upper middle income,2,4,1.604,22.0%,IRN
Iraq,IRQ,"45,504,560",Upper middle income,2,2,2.913,36.1%,IRQ
Ireland,IRL,"5,262,382",High income,6,11,5.902,8.4%,
Isle of Man,,"84,710",High income,#N/A,#N/A,#N/A,#N/A,
Israel,ISR,"9,756,700",High income,5,9,3.191,12.5%,
Italy,ITA,"58,761,146",High income,5,11,3.469,10.0%,ITA
Jamaica,JAM,"2,825,544",Upper middle income,1,1,0.757,34.0%,
Japan,JPN,"124,516,650",High income,5,10,3.870,12.8%,JPN
Jordan,JOR,"11,337,052",Lower middle income,1,7,0.677,25.0%,JOR
Kazakhstan,KAZ,"19,900,177",Upper middle income,3,6,2.555,15.0%,
Kenya,KEN,"55,100,586",Lower middle income,0,2,0.393,44.1%,KEN
Kiribati,KIR,"133,515",Lower middle income,4,1,6.409,45.3%,
"Korea, Dem. People's Rep.",PRK,"26,160,821",Low income,#N/A,#N/A,#N/A,#N/A,
"Korea, Rep.",KOR,"51,712,619",High income,6,11,5.691,9.8%,KOR
Kosovo,XKX,"1,756,374",Upper middle income,#N/A,#N/A,#N/A,#N/A,
Kuwait,KWT,"4,310,108",High income,2,8,2.119,16.7%,
Kyrgyzstan Republic,KGZ,"7,100,800",Lower middle income,2,5,0.517,26.5%,
Lao PDR,LAO,"7,633,779",Lower middle income,0,1,0.201,39.2%,
Latvia,LVA,"1,881,750",High income,5,6,2.125,18.1%,
Lebanon,LBN,"5,353,930",Lower middle income,2,5,0.996,29.5%,
Lesotho,LSO,"2,330,318",Lower middle income,1,2,0.910,53.6%,
Liberia,LBR,"5,418,377",Low income,1,0,0.345,54.4%,
Libya,LBY,"6,888,388",Upper middle income,5,4,5.421,25.0%,LBY
Liechtenstein,LIE,"39,584",High income,#N/A,#N/A,#N/A,#N/A,
Lithuania,LTU,"2,871,897",High income,4,#N/A,1.914,#N/A,
Luxembourg,LUX,"668,606",High income,6,9,5.244,8.8%,
"Macao SAR, China",,"704,149",High income,#N/A,#N/A,#N/A,#N/A,
Madagascar,MDG,"30,325,732",Low income,0,0,0.289,56.0%,
Malawi,MWI,"20,931,751",Low income,0,2,0.219,47.0%,
Malaysia,MYS,"34,308,525",Upper middle income,1,4,0.647,27.7%,
Maldives,MDV,"521,021",Upper middle income,5,9,4.820,24.3%,
Mali,MLI,"23,293,698",Low income,0,0,0.383,61.3%,
